Title,Event URL,Image URL,Categories,Mode,Date,Time,Location,Register Link
"#HerFreshStart - Scholarships of Up To Rs. 50,000 For Working Mothers ",https://events.herkey.com/events/herfreshstart-scholarships-of-up-to-rs-50-000-for-working-mothers/1611,https://assets.jobsforher.com/uploads/v3/events/6a55c04f5a08761560106870c537e6a68223404580dd52c562.png,Career Development,Online,"5th May, 2024 to 16th May, 2024",9:00am to 11:59pm,Any,N/A
Working in a Start-Up Vs. Working in Corporate,https://events.herkey.com/events/working-in-a-start-up-vs-working-in-corporate/1610,https://assets.jobsforher.com/uploads/v3/events/43c0a77e041d736aee01429d732cfc5c9f56be02bd84bbd523.png,"Career Development, event, networking",Online,"14th May, 2024",6:00pm to 7:00pm,Any,N/A
EmpowHER: Your Key to Unlocking a Fulfilling Life and Career ,https://events.herkey.com/events/empowher-your-key-to-unlocking-a-fulfilling-life-and-career/1580,https://assets.jobsforher.com/uploads/v3/events/6b10d098eb7ab6d16e54780b05cc38384442dcabd3bf54706a.png,"Career Development, Workshops",Offline,"11th May, 2024 to 12th May, 2024",9:00am to 6:00pm,Bangalore,N/A
Masterclass: Negotiation Do's & Don'ts for Job Search and Offers,https://events.herkey.com/events/masterclass-negotiation-do-s-don-ts-for-job-search-and-offers/1604,https://assets.jobsforher.com/uploads/v3/events/07a12ceeab84da63cd2adbd1f2323e6cc2dd5884ba5d236294.png,"Career Development, event",Online,"4th May, 2024",11:30am to 12:30pm,Any,N/A
EmpowerHER: Mentoring Session for Women in Sales on ‘Understanding Customer Needs’ ,https://events.herkey.com/events/empowerher-mentoring-session-for-women-in-sales-on-understanding-customer-needs/1605,https://assets.jobsforher.com/uploads/v3/events/d3acb9032094870e44368fb6b5a83e0be824dda4a4f0406ef9.png,"Career Development, Diversity Drive",Online,"3rd May, 2024",5:00pm to 6:00pm,Any,N/A
Reltio Networking Event: Real-time Data for Real-time Decisions ,https://events.herkey.com/events/reltio-networking-event-real-time-data-for-real-time-decisions/1602,https://assets.jobsforher.com/uploads/v3/events/d661e842d870668b9f992e9ef3abf3fe6e41a7e54cdebc6ab6.png,networking event,Online,"25th Apr, 2024",11:00am to 12:00pm,Any,N/A
Roundtable Discussion on The Five Dysfunctions of a Team,https://events.herkey.com/events/roundtable-discussion-on-the-five-dysfunctions-of-a-team/1603,https://assets.jobsforher.com/uploads/v3/events/b66d3b6ae168d4894fe0b45912e6283467ba16564a9d5565ae.png,"Career Development, event, networking",Online,"24th Apr, 2024",5:00pm to 6:00pm,Any,N/A
Cargill Hiring Drive for Women in Finance ,https://events.herkey.com/events/cargill-hiring-drive-for-women-in-finance/1598,https://assets.jobsforher.com/uploads/v3/events/41d19ca36c0374cce928b2489eb410bec4d04e95c2b83c6896.png,Diversity Drive,Offline,"20th Apr, 2024",9:30am to 5:00pm,Bangalore,N/A
Money Mastery: Setting Up Your Financial Plan for 2024-25,https://events.herkey.com/events/money-mastery-setting-up-your-financial-plan-for-2024-25/1601,https://assets.jobsforher.com/uploads/v3/events/b45e07349684e9f5fa87550e0118b1dbf5b799d33479466fd2.png,"Career Development, event, networking",Online,"18th Apr, 2024",5:00pm to 6:00pm,Any,N/A
Dialogue: Driving Results: Strategies for Team Success,https://events.herkey.com/events/dialogue-driving-results-strategies-for-team-success/1599,https://assets.jobsforher.com/uploads/v3/events/f8820aab83f7aebb8f3bc220ef8a25b53fd32c836f78142d95.png,"Career Development, Women In Leadership, event",Online,"17th Apr, 2024",7:00pm to 8:00pm,Any,N/A
Do-It-Herself 4.0 | Returnship program at Lowe's India for women on a career break ,https://events.herkey.com/events/do-it-herself-4-0-returnship-program-at-lowe-s-india-for-women-on-a-career-break/1530,https://assets.jobsforher.com/uploads/v3/events/5940aa6412e69439a68b89474a414960554819e0b892d5883f.png,Women Returnees,Online,"16th Apr, 2024",10:00am to 11:30am,Bangalore,N/A
Masterclass: The Juggling Act: Embracing Multiple Roles,https://events.herkey.com/events/masterclass-the-juggling-act-embracing-multiple-roles/1592,https://assets.jobsforher.com/uploads/v3/events/3d175cff1da07fadccb6ca26b8fc2eed92a80b263bba783ffe.png,"Career Development, event, networking",Online,"11th Apr, 2024",5:00pm to 6:00pm,Any,N/A
